title,image,price,description,review,category
Luxury Candle,/media/product1.jpg,299,Hand-poured soy candle.,5,Home
Relaxing Mist,/media/product2.jpg,199,Aromatic spray for your space.,4,Aromatherapy
Glow Serum,/media/product3.jpg,499,Hydrating facial serum.,5,Beauty
Botanical Diffuser,/media/product4.jpg,349,Natural reed diffuser.,4,Home
Zen Roller,/media/product5.jpg,149,Essential oil roller for calm.,3,Aromatherapy
Silk Mask,/media/product6.jpg,259,Soft silk sleeping mask.,4,Beauty
Aroma Cube,/media/product7.jpg,179,Fragrant wax cube set.,4,Home
Tranquil Mist,/media/product8.jpg,219,Calming lavender room spray.,5,Aromatherapy;stencil-image
Facial Roller,/media/product9.jpg,399,Quartz facial roller for skincare.,4,Beauty
Bamboo Candle,/media/product10.jpg,279,Natural bamboo container candle.,5,Home;stencil-image
Product One,/media/144182856_3766459796775599_7421504891805296654_n.jpg,320,Top quality product one.,5,scroller
Product Two,/media/344169837_560351256184838_1333247676088283294_n.jpg,280,Popular product two.,4,scroller
Product Three,/media/132081641_3768927716496566_6374357848372469864_n.jpg,350,Highly rated product three.,5,scroller
Product Four,/media/275360691_1618430998512215_2095395889303532265_n.jpg,300,Customer favourite product four.,4,scroller
